"","id","wd","hour","load"
"106","SM20R-01-00000602",5,9,0.179248995983934
"107","SM20R-01-00000602",5,10,0.186858630952379
"108","SM20R-01-00000602",5,11,0.20836761811023
"109","SM20R-01-00000602",5,12,0.212775000000002
"110","SM20R-01-00000602",5,13,0.19761904761904
"111","SM20R-01-00000602",5,14,0.21866185258964
"112","SM20R-01-00000602",5,15,0.173327636718752
"113","SM20R-01-00000602",5,16,0.177868701550403
"114","SM20R-01-00000602",5,17,0.204683880308874
"115","SM20R-01-00000602",5,18,0.257181949806942
"116","SM20R-01-00000602",5,19,0.28283461538462
"117","SM20R-01-00000602",5,20,0.256138461538458
"118","SM20R-01-00000602",5,21,0.189017307692306
"119","SM20R-01-00000602",5,22,0.134587499999996
"120","SM20R-01-00000602",5,23,0.0826649038461634
"121","SM20R-01-00000602",6,0,0.0642165697674544
"122","SM20R-01-00000602",6,1,0.0598417968749936
"123","SM20R-01-00000602",6,2,0.0545904150197534
"124","SM20R-01-00000602",6,3,0.0545813492063522
"125","SM20R-01-00000602",6,4,0.0620314960629767
"126","SM20R-01-00000602",6,5,0.061519531250002
"127","SM20R-01-00000602",6,6,0.0858206730769198
"128","SM20R-01-00000602",6,7,0.152220214843759
"129","SM20R-01-00000602",6,8,0.208541505791504
"130","SM20R-01-00000602",6,9,0.218245588235288
"131","SM20R-01-00000602",6,10,0.22883907480315
"132","SM20R-01-00000602",6,11,0.22556422924902
"133","SM20R-01-00000602",6,12,0.207482707509876
"134","SM20R-01-00000602",6,13,0.208604662698419
"135","SM20R-01-00000602",6,14,0.2037692687747
"136","SM20R-01-00000602",6,15,0.173826470588224
"137","SM20R-01-00000602",6,16,0.144986274509793
"138","SM20R-01-00000602",6,17,0.179631372549018
"139","SM20R-01-00000602",6,18,0.308247519841284
"140","SM20R-01-00000602",6,19,0.260499507874
"141","SM20R-01-00000602",6,20,0.225391798418966
"142","SM20R-01-00000602",6,21,0.164340277777784
"143","SM20R-01-00000602",6,22,0.100045138888876
"144","SM20R-01-00000602",6,23,0.0832630813953412
"145","SM20R-01-00000602",7,0,0.0603307692307686
"146","SM20R-01-00000602",7,1,0.058930288461536
"147","SM20R-01-00000602",7,2,0.0581596153846
"148","SM20R-01-00000602",7,3,0.0576908653846142
"149","SM20R-01-00000602",7,4,0.0557865384615269
"150","SM20R-01-00000602",7,5,0.0604615384615323
"151","SM20R-01-00000602",7,6,0.0692822115384588
"152","SM20R-01-00000602",7,7,0.105607211538471
"153","SM20R-01-00000602",7,8,0.161651264591434
"154","SM20R-01-00000602",7,9,0.178166023166017
"155","SM20R-01-00000602",7,10,0.178434593023265
"156","SM20R-01-00000602",7,11,0.172831249999992
"157","SM20R-01-00000602",7,12,0.169254326923074
"158","SM20R-01-00000602",7,13,0.157179807692306
"159","SM20R-01-00000602",7,14,0.146089285714278
"160","SM20R-01-00000602",7,15,0.138109744094474
"161","SM20R-01-00000602",7,16,0.128024606299216
"162","SM20R-01-00000602",7,17,0.172927165354332
"163","SM20R-01-00000602",7,18,0.214397771317828
"164","SM20R-01-00000602",7,19,0.217280273437506
"165","SM20R-01-00000602",7,20,0.18158544921875
"166","SM20R-01-00000602",7,21,0.120315429687494
"167","SM20R-01-00000602",7,22,0.0732192382812331
"168","SM20R-01-00000602",7,23,0.051830078125003
"169","SM20R-01-00000623",1,0,0.037514160156247
"170","SM20R-01-00000623",1,1,0.0337558593750041
"171","SM20R-01-00000623",1,2,0.033720734126984
"172","SM20R-01-00000623",1,3,0.0327192382812547
"173","SM20R-01-00000623",1,4,0.0346098632812478
"174","SM20R-01-00000623",1,5,0.0417270507812503
"175","SM20R-01-00000623",1,6,0.0603662109374955
"176","SM20R-01-00000623",1,7,0.0676958661417417
"177","SM20R-01-00000623",1,8,0.091178212851405
"178","SM20R-01-00000623",1,9,0.0929568089430782
"179","SM20R-01-00000623",1,10,0.0967848958333307
"180","SM20R-01-00000623",1,11,0.0999536458333348
"181","SM20R-01-00000623",1,12,0.0865555555555585
"182","SM20R-01-00000623",1,13,0.0700773565573733
"183","SM20R-01-00000623",1,14,0.0635848765432099
"184","SM20R-01-00000623",1,15,0.0602863729508202
"185","SM20R-01-00000623",1,16,0.0743928571428576
"186","SM20R-01-00000623",1,17,0.124915499999999
"187","SM20R-01-00000623",1,18,0.142630371093755
"188","SM20R-01-00000623",1,19,0.158672851562503
"189","SM20R-01-00000623",1,20,0.149554199218747
"190","SM20R-01-00000623",1,21,0.104073730468742
"191","SM20R-01-00000623",1,22,0.066708496093753
"192","SM20R-01-00000623",1,23,0.0485999999999965
"193","SM20R-01-00000623",2,0,0.0427812499999998
"194","SM20R-01-00000623",2,1,0.0383173828124983
"195","SM20R-01-00000623",2,2,0.0365449218750052
"196","SM20R-01-00000623",2,3,0.0339599609374994
"197","SM20R-01-00000623",2,4,0.0420454545454481
"198","SM20R-01-00000623",2,5,0.0589915674603202
"199","SM20R-01-00000623",2,6,0.0953531746031746
"200","SM20R-01-00000623",2,7,0.0999474206349192
"201","SM20R-01-00000623",2,8,0.125769422310759
"202","SM20R-01-00000623",2,9,0.136613047808762
"203","SM20R-01-00000623",2,10,0.15136653386454
"204","SM20R-01-00000623",2,11,0.135199999999994
"205","SM20R-01-00000623",2,12,0.138238591269847
"206","SM20R-01-00000623",2,13,0.127820717131478
